year;month;Brazil News-Based EPU
2012;2;96.60444641
2012;3;175.3641968
2012;4;66.50650787
2012;5;156.2056885
2012;6;176.1161652
2012;7;141.0108643
2012;8;99.74259949
2012;9;85.04138947
2012;10;104.0494232
2012;11;102.3488617
2012;12;76.76616669
2013;1;164.3462372
2013;2;69.93822479
2013;3;205.7545013
2013;4;130.4967651
2013;5;145.1582336
2013;6;131.4640656
2013;7;162.3981171
2013;8;187.2889709
2013;9;126.5808182
2013;10;108.8032913
2013;11;106.0886917
2013;12;116.3469467
2014;1;136.6474304
2014;2;170.0154114
2014;3;251.1715546
2014;4;150.5235901
2014;5;97.17090607
2014;6;76.95014954
2014;7;114.6071777
2014;8;168.4329071
2014;9;198.7192993
2014;10;91.75434113
2014;11;142.0146942
2014;12;185.6092224
2015;1;193.9933777
2015;2;302.9389343
2015;3;317.2683411
2015;4;211.5162964
2015;5;146.3652496
2015;6;101.2318115
2015;7;182.9708557
2015;8;291.7728271
2015;9;457.0996704
2015;10;297.0511169
2015;11;164.9832306
2015;12;330.6095276
2016;1;306.6892395
2016;2;224.2444611
2016;3;420.9589233
2016;4;473.5259094
2016;5;221.3032837
2016;6;294.4795227
2016;7;326.6337891
2016;8;251.6847382
2016;9;250.0245514
2016;10;149.3662415
2016;11;365.7530823
2016;12;422.5247803
2017;1;330.9284668
2017;2;371.6051331
2017;3;676.9550171
2017;4;550.1685791
2017;5;407.8592529
2017;6;230.9700165
2017;7;267.1994019
2017;8;309.670929
2017;9;326.5149536
2017;10;190.5667267
2017;11;279.8699646
2017;12;215.5720215
2018;1;165.0050354
2018;2;68.46357727
2018;3;101.2052994
2018;4;152.250946
2018;5;179.8089142
2018;6;152.1932068
2018;7;182.8765411
2018;8;129.479126
2018;9;130.2354279
2018;10;260.1669312
2018;11;177.4669952
2018;12;281.9073181
2019;1;127.0686188
2019;2;154.8354645
2019;3;158.1298218
2019;4;164.6699066
2019;5;184.266983
2019;6;146.9916077
2019;7;79.83703613
2019;8;161.1781158
2019;9;187.5530548
2019;10;178.1993713
2019;11;171.0523834
2019;12;183.1856079
2020;1;130.7153625
2020;2;232.2531891
2020;3;368.8998413
2020;4;312.1482849
2020;5;308.7680969
2020;6;115.9407883
2020;7;214.7630157
